key,enabled,identity,password,username
user-account-anonymous-01,true,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-inventor-01,true,"UserIdentity{name: 'Pedro', surname: 'Seda', email: 'inventor1@gmail.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Alberto', surname: 'Hernandez', email: 'inventor1@gmail.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Manuel', surname: 'Bond', email: 'inventor1@gmail.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Rodolfo', surname: 'Garcia', email: 'inventor1@gmail.com'}",inventor4,inventor4
user-account-patron-01,true,"UserIdentity{name: 'Roberto', surname: 'Bru', email: 'patron1@gmail.com'}",patron1,patron1
user-account-patron-02,true,"UserIdentity{name: 'Javier', surname: 'Guerra', email: 'patron2@gmail.com'}",patron2,patron2
user-account-patron-03,true,"UserIdentity{name: 'Yoel', surname: 'Ortiz', email: 'patron3@gmail.com'}",patron3,patron3
user-account-patron-04,true,"UserIdentity{name: 'Daniel', surname: 'Gallardo', email: 'patron4@gmail.com'}",patron4,patron4
